keyword,month,article_count
숏폼,2021-04,4030
숏폼,2021-05,4030
숏폼,2021-06,4030
숏폼,2021-07,4030
숏폼,2021-08,4030
숏폼,2021-09,4030
숏폼,2021-10,4030
숏폼,2021-11,4030
숏폼,2021-12,4030
숏폼,2022-01,4030
숏폼,2022-02,4030
숏폼,2022-03,4030
숏폼,2022-04,4030
숏폼,2022-05,4030
숏폼,2022-06,4030
숏폼,2022-07,4030
숏폼,2022-08,4030
숏폼,2022-09,4030
숏폼,2022-10,4030
숏폼,2022-11,4030
숏폼,2022-12,4030
숏폼,2023-01,4030
숏폼,2023-02,4030
숏폼,2023-03,4030
숏폼,2023-04,4030
숏폼,2023-05,4029
숏폼,2023-06,4010
숏폼,2023-07,4010
숏폼,2023-08,4010
숏폼,2023-09,4010
숏폼,2023-10,4010
숏폼,2023-11,4010
숏폼,2023-12,4010
숏폼,2024-01,4010
숏폼,2024-02,4010
숏폼,2024-03,4010
숏폼,2024-04,4010
숏폼,2024-05,4010
숏폼,2024-06,4010
숏폼,2024-07,4010
숏폼,2024-08,4010
숏폼,2024-09,4010
숏폼,2024-10,4010
숏폼,2024-11,4010
숏폼,2024-12,4010
숏폼,2025-01,4010
숏폼,2025-02,4010
숏폼,2025-03,4009
숏폼,2025-04,4010
숏폼,2025-05,4010
숏폼,2025-06,4010
숏폼,2025-07,4010
숏폼,2025-08,4010
숏폼,2025-09,4010
숏폼,2025-10,4010
숏폼,2025-11,4010
숏폼,2025-12,4010
숏폼,2026-01,4009
숏폼,2026-02,4010
숏폼,2026-03,4010
숏폼,2026-04,4010
