index,keyword,date,search
1,드라마 몰아보기,2023-04-01,1.85471
2,드라마 몰아보기,2023-04-02,2.08655
3,드라마 몰아보기,2023-04-03,1.46831
4,드라마 몰아보기,2023-04-04,1.93199
5,드라마 몰아보기,2023-04-05,2.55023
6,드라마 몰아보기,2023-04-06,2.70479
7,드라마 몰아보기,2023-04-07,2.70479
8,드라마 몰아보기,2023-04-08,2.08655
9,드라마 몰아보기,2023-04-09,3.63214
10,드라마 몰아보기,2023-04-10,1.85471
11,드라마 몰아보기,2023-04-11,1.39103
12,드라마 몰아보기,2023-04-12,2.31839
13,드라마 몰아보기,2023-04-13,2.70479
14,드라마 몰아보기,2023-04-14,3.7867
15,드라마 몰아보기,2023-04-15,2.78207
16,드라마 몰아보기,2023-04-16,3.32302
17,드라마 몰아보기,2023-04-17,3.24574
18,드라마 몰아보기,2023-04-18,3.01391
19,드라마 몰아보기,2023-04-19,2.00927
20,드라마 몰아보기,2023-04-20,3.32302
21,드라마 몰아보기,2023-04-21,3.32302
22,드라마 몰아보기,2023-04-22,2.24111
23,드라마 몰아보기,2023-04-23,4.25038
24,드라마 몰아보기,2023-04-24,2.16383
25,드라마 몰아보기,2023-04-25,1.70015
26,드라마 몰아보기,2023-04-26,2.62751
27,드라마 몰아보기,2023-04-27,1.70015
28,드라마 몰아보기,2023-04-28,2.00927
29,드라마 몰아보기,2023-04-29,2.85935
30,드라마 몰아보기,2023-04-30,2.85935
31,드라마 몰아보기,2023-05-01,2.39567
32,드라마 몰아보기,2023-05-02,1.93199
33,드라마 몰아보기,2023-05-03,2.78207
34,드라마 몰아보기,2023-05-04,3.24574
35,드라마 몰아보기,2023-05-05,3.32302
36,드라마 몰아보기,2023-05-06,2.62751
37,드라마 몰아보기,2023-05-07,2.31839
38,드라마 몰아보기,2023-05-08,2.00927
39,드라마 몰아보기,2023-05-09,2.85935
40,드라마 몰아보기,2023-05-10,1.23647
41,드라마 몰아보기,2023-05-11,1.93199
42,드라마 몰아보기,2023-05-12,1.77743
43,드라마 몰아보기,2023-05-13,2.24111
44,드라마 몰아보기,2023-05-14,1.85471
45,드라마 몰아보기,2023-05-15,1.62287
46,드라마 몰아보기,2023-05-16,2.39567
47,드라마 몰아보기,2023-05-17,2.31839
48,드라마 몰아보기,2023-05-18,1.70015
49,드라마 몰아보기,2023-05-19,1.54559
50,드라마 몰아보기,2023-05-20,2.47295
51,드라마 몰아보기,2023-05-21,1.62287
52,드라마 몰아보기,2023-05-22,1.23647
53,드라마 몰아보기,2023-05-23,2.78207
54,드라마 몰아보기,2023-05-24,3.16846
55,드라마 몰아보기,2023-05-25,2.70479
56,드라마 몰아보기,2023-05-26,2.78207
57,드라마 몰아보기,2023-05-27,2.55023
58,드라마 몰아보기,2023-05-28,3.94126
59,드라마 몰아보기,2023-05-29,4.01854
60,드라마 몰아보기,2023-05-30,1.39103
61,드라마 몰아보기,2023-05-31,1.93199
62,드라마 몰아보기,2023-06-01,1.70015
63,드라마 몰아보기,2023-06-02,1.62287
64,드라마 몰아보기,2023-06-03,2.00927
65,드라마 몰아보기,2023-06-04,2.55023
66,드라마 몰아보기,2023-06-05,2.16383
