index,keyword,date,search
1,쇼츠,2023-04-01,39.82777
2,쇼츠,2023-04-02,46.39397
3,쇼츠,2023-04-03,54.68245
4,쇼츠,2023-04-04,49.62325
5,쇼츠,2023-04-05,63.61679
6,쇼츠,2023-04-06,61.89451
7,쇼츠,2023-04-07,54.14424
8,쇼츠,2023-04-08,41.98062
9,쇼츠,2023-04-09,48.65446
10,쇼츠,2023-04-10,62.648
11,쇼츠,2023-04-11,61.35629
12,쇼츠,2023-04-12,65.76964
13,쇼츠,2023-04-13,64.155
14,쇼츠,2023-04-14,62.54036
15,쇼츠,2023-04-15,67.16899
16,쇼츠,2023-04-16,62.00215
17,쇼츠,2023-04-17,65.01614
18,쇼츠,2023-04-18,60.71044
19,쇼츠,2023-04-19,67.06135
20,쇼츠,2023-04-20,76.31862
21,쇼츠,2023-04-21,56.18945
22,쇼츠,2023-04-22,49.08503
23,쇼츠,2023-04-23,48.97739
24,쇼츠,2023-04-24,54.79009
25,쇼츠,2023-04-25,65.44671
26,쇼츠,2023-04-26,56.94294
27,쇼츠,2023-04-27,59.63401
28,쇼츠,2023-04-28,55.65123
29,쇼츠,2023-04-29,47.68568
30,쇼츠,2023-04-30,47.68568
31,쇼츠,2023-05-01,48.33153
32,쇼츠,2023-05-02,58.3423
33,쇼츠,2023-05-03,56.29709
34,쇼츠,2023-05-04,56.29709
35,쇼츠,2023-05-05,65.55435
36,쇼츠,2023-05-06,56.8353
37,쇼츠,2023-05-07,54.25188
38,쇼츠,2023-05-08,61.35629
39,쇼츠,2023-05-09,61.03336
40,쇼츠,2023-05-10,60.49515
41,쇼츠,2023-05-11,56.18945
42,쇼츠,2023-05-12,57.69644
43,쇼츠,2023-05-13,48.22389
44,쇼츠,2023-05-14,53.49838
45,쇼츠,2023-05-15,55.75888
46,쇼츠,2023-05-16,62.10979
47,쇼츠,2023-05-17,80.73196
48,쇼츠,2023-05-18,68.46071
49,쇼츠,2023-05-19,70.07534
50,쇼츠,2023-05-20,58.66523
51,쇼츠,2023-05-21,60.92572
52,쇼츠,2023-05-22,63.61679
53,쇼츠,2023-05-23,62.648
54,쇼츠,2023-05-24,65.23143
55,쇼츠,2023-05-25,61.89451
56,쇼츠,2023-05-26,55.11302
57,쇼츠,2023-05-27,55.97416
58,쇼츠,2023-05-28,51.34553
59,쇼츠,2023-05-29,60.06458
60,쇼츠,2023-05-30,65.12378
61,쇼츠,2023-05-31,69.86006
62,쇼츠,2023-06-01,64.47793
63,쇼츠,2023-06-02,60.38751
64,쇼츠,2023-06-03,67.38428
65,쇼츠,2023-06-04,54.79009
66,쇼츠,2023-06-05,66.63078
67,쇼츠,2023-06-06,54.68245
68,쇼츠,2023-06-07,58.12701
69,쇼츠,2023-06-08,58.66523
70,쇼츠,2023-06-09,56.0818
71,쇼츠,2023-06-10,48.54682
72,쇼츠,2023-06-11,58.12701
73,쇼츠,2023-06-12,61.35629
74,쇼츠,2023-06-13,61.57158
75,쇼츠,2023-06-14,62.10979
76,쇼츠,2023-06-15,64.80086
77,쇼츠,2023-06-16,60.81808
78,쇼츠,2023-06-17,53.71367
79,쇼츠,2023-06-18,55.11302
80,쇼츠,2023-06-19,63.83207
81,쇼츠,2023-06-20,62.75565
82,쇼츠,2023-06-21,69.32185
83,쇼츠,2023-06-22,57.37351
84,쇼츠,2023-06-23,56.0818
85,쇼츠,2023-06-24,54.35952
86,쇼츠,2023-06-25,53.49838
87,쇼츠,2023-06-26,62.75565
88,쇼츠,2023-06-27,61.24865
89,쇼츠,2023-06-28,65.76964
90,쇼츠,2023-06-29,62.00215
91,쇼츠,2023-06-30,62.86329
92,쇼츠,2023-07-01,56.62002
93,쇼츠,2023-07-02,65.12378
94,쇼츠,2023-07-03,67.38428
95,쇼츠,2023-07-04,73.95048
96,쇼츠,2023-07-05,68.89128
97,쇼츠,2023-07-06,70.07534
98,쇼츠,2023-07-07,65.23143
99,쇼츠,2023-07-08,60.60279
100,쇼츠,2023-07-09,64.58557
101,쇼츠,2023-07-10,68.89128
102,쇼츠,2023-07-11,68.24542
103,쇼츠,2023-07-12,75.45748
104,쇼츠,2023-07-13,70.18299
105,쇼츠,2023-07-14,68.35306
106,쇼츠,2023-07-15,58.66523
107,쇼츠,2023-07-16,62.97093
108,쇼츠,2023-07-17,69.2142
109,쇼츠,2023-07-18,74.81162
110,쇼츠,2023-07-19,64.26264
111,쇼츠,2023-07-20,62.10979
112,쇼츠,2023-07-21,73.51991
113,쇼츠,2023-07-22,60.81808
114,쇼츠,2023-07-23,58.23466
115,쇼츠,2023-07-24,66.30785
116,쇼츠,2023-07-25,70.07534
117,쇼츠,2023-07-26,65.55435
118,쇼츠,2023-07-27,61.24865
119,쇼츠,2023-07-28,59.31108
120,쇼츠,2023-07-29,51.23789
121,쇼츠,2023-07-30,51.23789
122,쇼츠,2023-07-31,64.37029
123,쇼츠,2023-08-01,58.98815
124,쇼츠,2023-08-02,63.61679
125,쇼츠,2023-08-03,60.60279
126,쇼츠,2023-08-04,56.62002
127,쇼츠,2023-08-05,48.00861
128,쇼츠,2023-08-06,51.66846
129,쇼츠,2023-08-07,62.43272
130,쇼츠,2023-08-08,63.93972
131,쇼츠,2023-08-09,69.42949
132,쇼츠,2023-08-10,72.87405
133,쇼츠,2023-08-11,58.12701
134,쇼츠,2023-08-12,43.48762
135,쇼츠,2023-08-13,50.16146
136,쇼츠,2023-08-14,56.62002
137,쇼츠,2023-08-15,59.20344
138,쇼츠,2023-08-16,58.98815
139,쇼츠,2023-08-17,60.06458
140,쇼츠,2023-08-18,58.01937
141,쇼츠,2023-08-19,48.65446
142,쇼츠,2023-08-20,51.0226
143,쇼츠,2023-08-21,55.86652
144,쇼츠,2023-08-22,68.13778
