index,keyword,date,search
1,숏폼,2023-04-01,0.53558
2,숏폼,2023-04-02,0.59669
3,숏폼,2023-04-03,0.94895
4,숏폼,2023-04-04,1.26887
5,숏폼,2023-04-05,1.28324
6,숏폼,2023-04-06,1.24011
7,숏폼,2023-04-07,1.15744
8,숏폼,2023-04-08,0.56434
9,숏폼,2023-04-09,1.33716
10,숏폼,2023-04-10,1.28684
11,숏폼,2023-04-11,1.32638
12,숏폼,2023-04-12,1.28684
13,숏폼,2023-04-13,1.34076
14,숏폼,2023-04-14,1.2473
15,숏폼,2023-04-15,0.6542
16,숏폼,2023-04-16,0.86628
17,숏폼,2023-04-17,1.37311
18,숏폼,2023-04-18,1.40546
19,숏폼,2023-04-19,1.31919
20,숏폼,2023-04-20,1.09992
21,숏폼,2023-04-21,1.10711
22,숏폼,2023-04-22,0.70812
23,숏폼,2023-04-23,0.78001
24,숏폼,2023-04-24,1.18979
25,숏폼,2023-04-25,1.27965
26,숏폼,2023-04-26,1.14306
27,숏폼,2023-04-27,1.21135
28,숏폼,2023-04-28,1.1179
29,숏폼,2023-04-29,1.34435
30,숏폼,2023-04-30,1.21495
31,숏폼,2023-05-01,1.01725
32,숏폼,2023-05-02,1.43062
33,숏폼,2023-05-03,1.4414
34,숏폼,2023-05-04,1.23292
35,숏폼,2023-05-05,0.84831
36,숏폼,2023-05-06,0.87706
37,숏폼,2023-05-07,1.06757
38,숏폼,2023-05-08,1.47375
39,숏폼,2023-05-09,1.58519
40,숏폼,2023-05-10,1.54205
41,숏폼,2023-05-11,1.56721
42,숏폼,2023-05-12,1.52048
43,숏폼,2023-05-13,1.00647
44,숏폼,2023-05-14,4.53989
45,숏폼,2023-05-15,1.91229
46,숏폼,2023-05-16,1.65708
47,숏폼,2023-05-17,4.75557
48,숏폼,2023-05-18,2.78936
49,숏폼,2023-05-19,2.83608
50,숏폼,2023-05-20,1.54205
51,숏폼,2023-05-21,1.53127
52,숏폼,2023-05-22,1.86556
53,숏폼,2023-05-23,1.60675
54,숏폼,2023-05-24,1.61035
55,숏폼,2023-05-25,1.47735
56,숏폼,2023-05-26,1.28684
57,숏폼,2023-05-27,1.01006
58,숏폼,2023-05-28,1.00647
59,숏폼,2023-05-29,1.16822
60,숏폼,2023-05-30,1.51329
61,숏폼,2023-05-31,1.70021
62,숏폼,2023-06-01,1.48094
63,숏폼,2023-06-02,1.32638
64,숏폼,2023-06-03,0.89144
65,숏폼,2023-06-04,1.06038
66,숏폼,2023-06-05,1.17181
67,숏폼,2023-06-06,1.21854
68,숏폼,2023-06-07,1.48454
69,숏폼,2023-06-08,1.64629
70,숏폼,2023-06-09,1.61754
71,숏폼,2023-06-10,0.89144
72,숏폼,2023-06-11,0.95974
73,숏폼,2023-06-12,1.52767
74,숏폼,2023-06-13,1.77929
75,숏폼,2023-06-14,1.60675
76,숏폼,2023-06-15,1.47735
77,숏폼,2023-06-16,2.33285
78,숏폼,2023-06-17,1.36232
79,숏폼,2023-06-18,1.18979
80,숏폼,2023-06-19,1.66067
81,숏폼,2023-06-20,1.64989
82,숏폼,2023-06-21,3.46872
83,숏폼,2023-06-22,2.57728
84,숏폼,2023-06-23,2.22142
85,숏폼,2023-06-24,1.27606
86,숏폼,2023-06-25,1.22214
87,숏폼,2023-06-26,1.89791
88,숏폼,2023-06-27,1.88353
89,숏폼,2023-06-28,1.89791
90,숏폼,2023-06-29,17.86484
91,숏폼,2023-06-30,3.18116
92,숏폼,2023-07-01,1.36232
93,숏폼,2023-07-02,2.02012
94,숏폼,2023-07-03,3.09489
95,숏폼,2023-07-04,2.34723
96,숏폼,2023-07-05,2.61322
97,숏폼,2023-07-06,2.85765
98,숏폼,2023-07-07,3.13084
99,숏폼,2023-07-08,1.31919
100,숏폼,2023-07-09,1.21135
101,숏폼,2023-07-10,1.99856
102,숏폼,2023-07-11,2.05607
103,숏폼,2023-07-12,2.39396
104,숏폼,2023-07-13,2.4299
105,숏폼,2023-07-14,1.98418
106,숏폼,2023-07-15,1.25089
107,숏폼,2023-07-16,1.31919
108,숏폼,2023-07-17,2.09202
109,숏폼,2023-07-18,2.19626
110,숏폼,2023-07-19,2.26815
111,숏폼,2023-07-20,1.64989
112,숏폼,2023-07-21,1.60316
113,숏폼,2023-07-22,0.9813
114,숏폼,2023-07-23,1.04601
115,숏폼,2023-07-24,1.82961
116,숏폼,2023-07-25,1.65708
117,숏폼,2023-07-26,2.26815
118,숏폼,2023-07-27,1.77929
119,숏폼,2023-07-28,1.86915
120,숏폼,2023-07-29,1.38389
121,숏폼,2023-07-30,1.04601
122,숏폼,2023-07-31,1.50251
123,숏폼,2023-08-01,1.53846
124,숏폼,2023-08-02,3.45794
125,숏폼,2023-08-03,1.6427
126,숏폼,2023-08-04,1.47735
127,숏폼,2023-08-05,1.12149
128,숏폼,2023-08-06,0.97052
129,숏폼,2023-08-07,1.75772
130,숏폼,2023-08-08,1.78289
131,숏폼,2023-08-09,1.94823
132,숏폼,2023-08-10,2.15672
133,숏폼,2023-08-11,1.54205
134,숏폼,2023-08-12,2.32925
135,숏폼,2023-08-13,2.10999
136,숏폼,2023-08-14,2.11718
137,숏폼,2023-08-15,1.75053
138,숏폼,2023-08-16,2.10999
139,숏폼,2023-08-17,1.9051
140,숏폼,2023-08-18,1.75772
141,숏폼,2023-08-19,1.09633
142,숏폼,2023-08-20,1.179
143,숏폼,2023-08-21,1.85478
144,숏폼,2023-08-22,2.12437
145,숏폼,2023-08-23,2.01294
146,숏폼,2023-08-24,1.87275
147,숏폼,2023-08-25,1.46657
148,숏폼,2023-08-26,1.21135
149,숏폼,2023-08-27,1.02444
150,숏폼,2023-08-28,1.62832
151,숏폼,2023-08-29,1.52767
152,숏폼,2023-08-30,1.70381
153,숏폼,2023-08-31,1.59956
154,숏폼,2023-09-01,1.39827
155,숏폼,2023-09-02,0.98849
156,숏폼,2023-09-03,1.11071
157,숏폼,2023-09-04,1.58159
158,숏폼,2023-09-05,1.48454
159,숏폼,2023-09-06,1.80445
160,숏폼,2023-09-07,2.6923
161,숏폼,2023-09-08,1.62473
162,숏폼,2023-09-09,0.9813
163,숏폼,2023-09-10,1.03522
164,숏폼,2023-09-11,1.7074
165,숏폼,2023-09-12,1.54565
166,숏폼,2023-09-13,1.52048
167,숏폼,2023-09-14,1.5097
168,숏폼,2023-09-15,1.45219
169,숏폼,2023-09-16,0.84471
170,숏폼,2023-09-17,0.96693
171,숏폼,2023-09-18,1.40905
172,숏폼,2023-09-19,1.48813
173,숏폼,2023-09-20,1.50611
174,숏폼,2023-09-21,1.33357
175,숏폼,2023-09-22,1.15025
176,숏폼,2023-09-23,0.69374
177,숏폼,2023-09-24,0.7189
178,숏폼,2023-09-25,1.27965
179,숏폼,2023-09-26,1.35154
180,숏폼,2023-09-27,1.12508
181,숏폼,2023-09-28,0.74406
182,숏폼,2023-09-29,0.53558
183,숏폼,2023-09-30,0.54996
184,숏폼,2023-10-01,0.57512
185,숏폼,2023-10-02,0.79079
186,숏폼,2023-10-03,0.89144
187,숏폼,2023-10-04,1.50611
188,숏폼,2023-10-05,1.42703
189,숏폼,2023-10-06,1.35154
190,숏폼,2023-10-07,0.83752
191,숏폼,2023-10-08,0.81955
192,숏폼,2023-10-09,0.86628
193,숏폼,2023-10-10,1.32997
194,숏폼,2023-10-11,1.5097
195,숏폼,2023-10-12,1.29403
196,숏폼,2023-10-13,1.20776
197,숏폼,2023-10-14,0.72609
198,숏폼,2023-10-15,1.16822
199,숏폼,2023-10-16,1.49532
200,숏폼,2023-10-17,1.53127
201,숏폼,2023-10-18,1.44859
202,숏폼,2023-10-19,1.58159
203,숏폼,2023-10-20,1.36951
204,숏폼,2023-10-21,0.72969
205,숏폼,2023-10-22,0.82674
